151.74,303.85,279.18,263.93,-89.985,118.27,-33.836,-9.1659,6.084
301.37,275.38,260.17,229.14,-97.299,-38.665,-12.678,2.527,33.557
296.41,269.14,253.79,226.98,-108.82,-45.229,-17.962,-2.6104,24.197
13.834,308.4,288.6,277.53,-82.36,-96.194,-30.759,-10.963,0.10921
20.988,305.09,282.35,270.29,-86.802,-107.79,-31.889,-9.1513,2.9068
295.88,270.36,255.45,229.18,-111.19,-47.068,-21.547,-6.6346,19.629
304.69,275.39,259.3,230.75,-89.932,-34.626,-5.3234,10.768,39.321
314.01,290.67,278.85,257.12,-77.798,-31.807,-8.4659,3.3494,25.081
35.039,311.84,288.69,235.6,-80.821,-115.86,-32.665,-9.5076,43.578
310.91,286.03,268.61,245.12,-80.849,-31.756,-6.8818,10.541,34.029
335.01,269.63,309.66,279.38,-52.854,-27.868,37.512,-2.5106,27.763
334.1,273.01,306.39,280.4,-53.468,-27.57,33.521,0.13938,26.132
331.58,257.31,300.1,266.51,-77.828,-49.411,24.866,-17.93,15.666
14.374,307.14,286.14,264.34,-86.45,-100.82,-33.594,-12.593,9.2116
10.819,308.41,288.7,241.61,-83.425,-94.243,-31.838,-12.124,34.962
