59.737,50.328,355.08,356.72,0,-59.737,-50.328,4.92,3.2767,32.359,rockon
347.34,54.356,54.356,0,54.356,67.015,0,0,0,161.71,rockon
348.82,309.43,303.24,0,-26.125,-14.946,24.45,30.633,0,74.051,rockon
353.93,295.92,299.51,0,-94.469,-88.4,-30.394,-33.984,0,6.2761,rockon
349.2,319.36,315.01,0,-24.212,-13.411,16.425,20.774,0,68.472,rockon
49.956,20.297,6.5957,337.19,0,-49.956,-20.297,-6.5957,22.808,71.288,rockon
55.569,24.12,13.952,344.03,0,-55.569,-24.12,-13.952,15.968,68.477,rockon
302.43,313.69,271.36,271.25,-67.799,-10.227,-21.486,20.84,20.952,64.728,rockon
321.13,309.47,279.93,280.77,-61.545,-22.674,-11.011,18.523,17.688,65.458,rockon
316.92,306.21,274.91,276.78,-66.784,-23.704,-12.991,18.309,16.441,62.628,rockon
318.52,307.12,278.12,279.98,-63.167,-21.686,-10.291,18.714,16.857,69.243,rockon
316.43,304.48,278.48,280.83,-62.473,-18.904,-6.9517,19.048,16.699,74.749,rockon
316.71,303.81,275.44,277.34,-62.706,-19.418,-6.5156,21.854,19.958,74.659,rockon
351.51,302.33,302.68,0,-7.7513,0.73627,49.924,49.571,0,94.493,rockon
353.37,299.67,0,0,-24.769,-18.136,35.557,0,0,69.078,rockon
301.07,279.58,0,0,-68.741,-9.8091,11.679,0,0,83.833,peace
336.45,0,0,0,-8.556,14.989,0,0,0,87.863,peace
335.95,304.2,0,0,-8.3318,15.717,47.468,0,0,89.965,peace
293.78,271.19,0,0,-74.266,-8.0412,14.541,0,0,85.601,peace
61.256,19.856,1.9008,0,0,-61.256,-19.856,-1.9008,0,61.421,peace
70.001,17.228,356.8,0,0,-70.001,-17.228,3.2033,0,55.914,peace
333.41,301.47,267.97,0,-11.132,15.458,47.393,80.901,0,95.563,peace
334.28,303.28,0,0,-9.9178,15.802,46.799,0,0,91.647,peace
58.039,20.658,0.82977,0,0,-58.039,-20.658,-0.82977,0,58.381,peace
48.72,21.118,3.9826,0,0,-48.72,-21.118,-3.9826,0,52.225,peace
287.34,259.29,0,0,-86.27,-13.61,14.435,0,0,76.556,peace
297.04,334.82,0,0,-10.386,52.576,14.795,0,0,79.314,peace
307.84,336.81,0,0,-10.877,41.282,12.316,0,0,80.823,peace
331.71,299.59,266.19,0,-9.7609,18.533,50.648,84.052,0,103.75,peace
329.55,293.86,260.2,0,-9.3156,21.131,56.825,90.489,0,103.22,peace
151.74,303.85,279.18,263.93,-89.985,118.27,-33.836,-9.1659,6.084,62.927,five
262.7,301.37,275.38,260.17,-97.299,0,-38.665,-12.678,2.527,57.668,five
251.18,296.41,269.14,253.79,-108.82,0,-45.229,-17.962,-2.6104,56.79,five
82.36,96.194,30.759,10.963,0,-82.36,-96.194,-30.759,-10.963,57.565,five
273.2,20.988,305.09,282.35,-86.802,0,-107.79,-31.889,-9.1513,59.34,five
248.81,295.88,270.36,255.45,-111.19,0,-47.068,-21.547,-6.6346,43.648,five
304.69,275.39,259.3,230.75,-89.932,-34.626,-5.3234,10.768,39.321,82.943,five
314.01,290.67,278.85,257.12,-77.798,-31.807,-8.4659,3.3494,25.081,78.225,five
35.039,311.84,288.69,235.6,-80.821,-115.86,-32.665,-9.5076,43.578,59.146,five
310.91,286.03,268.61,245.12,-80.849,-31.756,-6.8818,10.541,34.029,76.62,five
0,52.854,27.868,322.49,0,0,-52.854,-27.868,37.512,46.617,five
0,53.468,27.57,326.48,0,0,-53.468,-27.57,33.521,44.638,five
0,77.828,49.411,335.13,0,0,-77.828,-49.411,24.866,29.623,five
14.374,307.14,286.14,264.34,-86.45,-100.82,-33.594,-12.593,9.2116,62.023,five
10.819,308.41,288.7,241.61,-83.425,-94.243,-31.838,-12.124,34.962,64.18,five
318.9,278.09,0,0,-49.235,-8.1384,32.671,0,0,81.684,fist
327.37,297.32,276.12,0,-47.364,-14.733,15.315,36.517,0,80.249,fist
328.53,300.65,280.21,0,-51.481,-20.015,7.8686,28.313,0,72.884,fist
339.35,320.86,303.12,0,-31.542,-10.893,7.6001,25.333,0,77.458,fist
327.68,307.93,0,0,-22.656,9.6626,29.412,0,0,80.266,fist
342.76,322.27,303.55,0,-32.767,-15.528,4.9589,23.683,0,69.09,fist
36.381,16.191,353.79,332.96,0,-36.381,-16.191,6.2123,27.037,67.813,fist
335.38,320.78,0,0,-26.78,-2.1617,12.443,0,0,56.872,fist
332.3,315.89,0,0,-25.587,2.1163,18.519,0,0,65.689,fist
336.21,322.8,0,0,-23.742,0.051402,13.458,0,0,64.516,fist
328.51,0,0,0,-17.366,14.123,0,0,0,74.833,fist
0,47.707,32.312,15.539,0,0,-47.707,-32.312,-15.539,56.54,fist
0,49.285,32.17,15.523,0,0,-49.285,-32.17,-15.523,56.122,fist
39.466,29.15,13.305,0,0,-39.466,-29.15,-13.305,0,46.894,fist
331.05,314.78,0,0,-23.566,5.3883,21.653,0,0,70.417,fist
328.94,309.86,0,0,-21.418,9.6394,28.724,0,0,74.191,fist
329.84,312.49,0,0,-28.257,1.9009,19.252,0,0,59.752,fist
